! CMT, S5065, 17017441, 22.3.2/2
! Date: 2022-08-18 오후 4:28:15
! Stimulus(Hz),    S11(dB),           S12(dB),           S21(dB),           S22(dB)
1.57393922526E+04,+2.00881463140E-01,-6.99047144242E+01,-6.85441014482E+01,+1.69263634939E-01
1.60353880393E+04,+1.84947028210E-01,-6.62649350562E+01,-6.58198338154E+01,+1.55985815833E-01
1.63369503372E+04,+1.66928803990E-01,-6.86020340212E+01,-6.79449257213E+01,+1.40691833715E-01
1.66441838307E+04,+1.50750705496E-01,-6.98940561719E+01,-6.50605273629E+01,+1.27595690537E-01
1.69571951723E+04,+1.34660304419E-01,-6.76914694759E+01,-6.67451832453E+01,+1.14268858345E-01
1.72760930207E+04,+1.19258987353E-01,-6.83325942472E+01,-6.63182436317E+01,+9.92000650819E-02
1.76009880777E+04,+1.10912743403E-01,-6.96527438332E+01,-6.63333604629E+01,+8.78367018130E-02
1.79319931272E+04,+1.04385657703E-01,-6.78989973655E+01,-6.56599467741E+01,+7.83433566123E-02
1.82692230739E+04,+9.71562852268E-02,-6.47649952819E+01,-6.80347588188E+01,+6.02441035052E-02
1.86127949837E+04,+8.79618523358E-02,-6.86900700640E+01,-6.64374655294E+01,+5.22112687866E-02
1.89628281237E+04,+8.01811296680E-02,-6.50336531490E+01,-6.72363657739E+01,+3.71267706643E-02
1.93194440042E+04,+7.23317172589E-02,-6.49784488684E+01,-6.51332530362E+01,+2.52994357842E-02
1.96827664206E+04,+7.82522817369E-02,-6.65681794573E+01,-6.57357863872E+01,+3.25828129209E-02
2.00529214962E+04,+8.20954217398E-02,-6.63227481529E+01,-6.54701908516E+01,+4.80671724042E-02
2.04300377265E+04,+6.93811172653E-02,-6.69269012113E+01,-6.66720530641E+01,+4.17243144851E-02
2.08142460231E+04,+6.75433072946E-02,-6.69153718944E+01,-6.62916118943E+01,+3.98902241991E-02
2.12056797599E+04,+6.47956656923E-02,-6.80685302259E+01,-6.69608227799E+01,+3.08331376510E-02
2.16044748189E+04,+6.11952347770E-02,-6.55737506034E+01,-6.62799399751E+01,+3.00763579029E-02
2.20107696374E+04,+5.66049965478E-02,-6.59183665013E+01,-6.57082820026E+01,+2.68312974859E-02
2.24247052562E+04,+5.42873208660E-02,-6.66481397587E+01,-6.61175058981E+01,+2.32417991698E-02
2.28464253688E+04,+4.89404493528E-02,-6.51991291095E+01,-6.55684422650E+01,+2.42287893657E-02
2.32760763706E+04,+5.08530050391E-02,-6.49168590998E+01,-6.51584325897E+01,+2.23385883845E-02
2.37138074102E+04,+4.70786890322E-02,-6.54459131242E+01,-6.43565125831E+01,+1.97129955774E-02
2.41597704414E+04,+4.03623245351E-02,-6.72336484506E+01,-6.51496242213E+01,+1.46654820080E-02
2.46141202754E+04,+3.72361224915E-02,-6.53430915622E+01,-6.55774850327E+01,+1.27946799554E-02
2.50770146347E+04,+2.82008856761E-02,-6.36260340466E+01,-6.56827795961E+01,+1.25118259825E-02
2.55486142082E+04,+1.85773360556E-02,-6.42373864222E+01,-6.58291430896E+01,+7.54309690086E-03
2.60290827065E+04,+2.16409614521E-02,-6.44715192555E+01,-6.36067251421E+01,+4.08873847823E-03
2.65185869190E+04,+1.95109291028E-02,-6.41194553776E+01,-6.44817705594E+01,+2.68031890915E-03
2.70172967719E+04,+1.03979829158E-02,-6.39502368359E+01,-6.39279972737E+01,+7.34135642725E-04
2.75253853869E+04,+1.56144189397E-02,-6.30924139626E+01,-6.43630279825E+01,+1.19749740814E-03
2.80430291415E+04,+1.24610046484E-02,-6.53603627327E+01,-6.42406469045E+01,-2.71833257467E-04
2.85704077300E+04,+6.61817295233E-03,-6.34258986282E+01,-6.30985267508E+01,-1.91549351905E-03
2.91077042262E+04,+2.21663231945E-03,-6.38112562205E+01,-6.43967626638E+01,-7.10873400179E-04
2.96551051468E+04,-1.49401919971E-03,-6.27815304650E+01,-6.36516596351E+01,-3.38744040777E-03
3.02128005161E+04,-1.38251742682E-03,-6.41500956815E+01,-6.29183842445E+01,+1.71660146181E-03
3.07809839321E+04,-1.88189846807E-03,-6.22992844198E+01,-6.32377976853E+01,-1.42282590752E-03
3.13598526333E+04,-2.84181233116E-03,-6.39768146733E+01,-6.29765714931E+01,-3.66731337590E-04
3.19496075679E+04,-9.10971944216E-03,-6.30214923091E+01,-6.20327046107E+01,-3.04016808942E-03
3.25504534629E+04,-1.55019042589E-02,-6.11827950549E+01,-6.27640812695E+01,-8.19270021972E-03
3.31625988954E+04,-5.38545304948E-03,-6.19964223499E+01,-6.12833836830E+01,-8.75795631475E-03
3.37862563651E+04,-9.05796681392E-03,-6.33423411848E+01,-6.19099606747E+01,-9.24705513952E-04
3.44216423679E+04,-1.49198088184E-02,-6.17020379668E+01,-6.19501590403E+01,-9.76857303735E-03
3.50689774712E+04,-9.41650589753E-03,-6.11357997298E+01,-6.20235655784E+01,-8.37759638243E-03
3.57284863903E+04,-1.09344804986E-02,-6.22894430908E+01,-6.16689692819E+01,-5.83596791496E-03
3.64003980667E+04,-6.20550568577E-03,-6.18859549890E+01,-6.23392142786E+01,-8.41797274929E-03
3.70849457472E+04,-9.48884395542E-03,-6.17498688820E+01,-6.21629999261E+01,-9.03365742221E-03
3.77823670651E+04,-1.10415578147E-02,-6.10396187204E+01,-6.15173269743E+01,-9.88049792671E-03
3.84929041228E+04,-6.98980144760E-03,-6.17066887256E+01,-6.20500967383E+01,-5.17529477172E-03
3.92168035753E+04,-2.91571354539E-03,-6.09984000324E+01,-6.13688396564E+01,-6.10611379288E-03
3.99543167167E+04,-5.11579469940E-03,-6.10083975185E+01,-6.18135652625E+01,-4.11320224331E-03
4.07056995665E+04,-5.68042683399E-03,-6.00247522968E+01,-6.04702990841E+01,-6.27812534635E-03
4.14712129593E+04,-5.50391604113E-03,-5.98842761029E+01,-6.08446024948E+01,-8.17159898909E-03
4.22511226346E+04,-8.78706615303E-03,-6.02814626110E+01,-6.04954980393E+01,-7.76804798876E-03
4.30456993298E+04,-9.25554606183E-03,-5.95596412715E+01,-6.05554665774E+01,-5.58551718285E-03
4.38552188734E+04,-7.53440192871E-03,-6.02480945949E+01,-6.01211817819E+01,-5.63410275678E-03
4.46799622815E+04,-6.29832126233E-03,-6.02948073900E+01,-5.94632820794E+01,-5.31014282442E-03
4.55202158548E+04,-2.72661776170E-03,-5.93784299306E+01,-5.95763712210E+01,-5.86644187595E-03
4.63762712782E+04,-6.90260336398E-03,-5.98275709006E+01,-5.96206431747E+01,-7.43228509300E-03
4.72484257222E+04,-7.95679144410E-03,-5.94471788074E+01,-5.98247506160E+01,-6.22532064208E-03
4.81369819455E+04,-5.74635121909E-03,-5.97150289658E+01,-5.92847586785E+01,-6.70968653636E-03
4.90422484011E+04,-1.26947528863E-03,-5.92696019726E+01,-5.91605321173E+01,-5.91883282957E-03
4.99645393422E+04,-4.30930281195E-03,-5.90936196679E+01,-5.85609844368E+01,-6.29278350011E-03
5.09041749322E+04,-8.25194954144E-03,-5.88783663690E+01,-5.85666374029E+01,-9.64531018185E-03
5.18614813554E+04,-6.01359961194E-03,-5.85955568245E+01,-5.88017642577E+01,-1.11944558727E-02
5.28367909305E+04,-6.25092445379E-03,-5.80067685480E+01,-5.86553082090E+01,-8.91044481284E-03
5.38304422254E+04,-5.39130112878E-03,-5.84440176864E+01,-5.85247571250E+01,-9.51704092403E-03
5.48427801757E+04,-7.84626755930E-03,-5.81285743473E+01,-5.79273252988E+01,-1.00676664583E-02
5.58741562033E+04,-6.14163405683E-03,-5.82741433368E+01,-5.80807229864E+01,-1.04330355783E-02
5.69249283393E+04,-6.00441259259E-03,-5.74182444670E+01,-5.77259146443E+01,-1.17280977696E-02
5.79954613480E+04,-1.15507731289E-02,-5.74635635955E+01,-5.76991459734E+01,-1.04854776450E-02
5.90861268531E+04,-1.50774829203E-02,-5.74465743201E+01,-5.74079645148E+01,-1.34092188984E-02
6.01973034675E+04,-1.52677664058E-02,-5.75721692276E+01,-5.74759657138E+01,-1.45713533212E-02
6.13293769242E+04,-1.33244970232E-02,-5.71759783588E+01,-5.70736981305E+01,-1.51597502360E-02
6.24827402100E+04,-1.26916642008E-02,-5.74400797058E+01,-5.70051086816E+01,-1.38812007538E-02
6.36577937027E+04,-1.35627962260E-02,-5.69592677509E+01,-5.66596457921E+01,-1.29889828151E-02
6.48549453092E+04,-1.42361508413E-02,-5.67430817985E+01,-5.68632980566E+01,-1.49575436827E-02
6.60746106079E+04,-1.40836227753E-02,-5.65715430673E+01,-5.63753138846E+01,-1.64089341836E-02
6.73172129924E+04,-1.46131121049E-02,-5.63452984883E+01,-5.65099251751E+01,-1.68357356867E-02
6.85831838185E+04,-1.90944218542E-02,-5.63528604667E+01,-5.62107521739E+01,-1.63080289845E-02
6.98729625544E+04,-1.81282338181E-02,-5.63413323587E+01,-5.59545095066E+01,-1.63815490897E-02
7.11869969328E+04,-1.81892006759E-02,-5.59042703368E+01,-5.57414050379E+01,-1.69724375650E-02
7.25257431065E+04,-1.87460023600E-02,-5.58943547029E+01,-5.55127331600E+01,-1.74650206053E-02
7.38896658067E+04,-1.76484398138E-02,-5.58485068858E+01,-5.55353571858E+01,-1.78660587966E-02
7.52792385045E+04,-1.73911267159E-02,-5.57469596612E+01,-5.52460489910E+01,-1.64947432943E-02
7.66949435749E+04,-2.27276049433E-02,-5.49554444651E+01,-5.52096404021E+01,-1.89427639053E-02
7.81372724647E+04,-2.18556775825E-02,-5.50193140510E+01,-5.53349535773E+01,-1.81096770862E-02
7.96067258626E+04,-2.04042675167E-02,-5.51020224024E+01,-5.49328721559E+01,-2.04015093677E-02
8.11038138737E+04,-2.26368867849E-02,-5.48522006517E+01,-5.46247523839E+01,-1.83506322041E-02
8.26290561956E+04,-2.13017956833E-02,-5.45001179980E+01,-5.45581051072E+01,-1.96591387147E-02
8.41829822999E+04,-2.36122617070E-02,-5.44809276630E+01,-5.43461481712E+01,-2.31108103279E-02
8.57661316150E+04,-2.27343541635E-02,-5.46672257302E+01,-5.43616166017E+01,-2.22363939702E-02
8.73790537143E+04,-2.22135854368E-02,-5.42543737761E+01,-5.41219303059E+01,-2.22510498835E-02
8.90223085061E+04,-2.19626245272E-02,-5.37415941646E+01,-5.36276737625E+01,-2.05489548821E-02
9.06964664284E+04,-2.12981115525E-02,-5.38067383941E+01,-5.37223594520E+01,-2.41862837308E-02
9.24021086472E+04,-2.25114085420E-02,-5.39692860206E+01,-5.37395092030E+01,-2.39374829460E-02
9.41398272577E+04,-2.51221323228E-02,-5.36649681408E+01,-5.35815569274E+01,-2.50925928372E-02
9.59102254900E+04,-2.53548896319E-02,-5.34307707036E+01,-5.35193089949E+01,-2.48730075522E-02
9.77139179187E+04,-2.19295250498E-02,-5.29863898582E+01,-5.34642182868E+01,-2.49461293493E-02
9.95515306762E+04,-2.53237435559E-02,-5.29799513844E+01,-5.31139960478E+01,-2.41344947213E-02
1.01423701670E+05,-2.74441071042E-02,-5.29503801292E+01,-5.27041121891E+01,-2.38757541621E-02
1.03331080803E+05,-2.54773435434E-02,-5.27638211109E+01,-5.26504591303E+01,-2.53064138969E-02
1.05274330203E+05,-2.48111880455E-02,-5.29026499093E+01,-5.24141306048E+01,-2.62593633135E-02
1.07254124447E+05,-2.50507574175E-02,-5.23158391129E+01,-5.24471923780E+01,-2.71679096249E-02
1.09271150798E+05,-2.44262030272E-02,-5.24429258541E+01,-5.23277906471E+01,-2.71465661671E-02
1.11326109447E+05,-2.46474933979E-02,-5.20091301133E+01,-5.21447914623E+01,-2.50346151474E-02
1.13419713749E+05,-2.54577646277E-02,-5.18479522105E+01,-5.19510478135E+01,-2.43167082049E-02
1.15552690478E+05,-2.50577622249E-02,-5.17919592504E+01,-5.17154588962E+01,-2.50009714487E-02
1.17725780071E+05,-2.55799733960E-02,-5.13908708958E+01,-5.17730261345E+01,-2.79230455116E-02
1.19939736895E+05,-2.54238464072E-02,-5.13178417611E+01,-5.15612268289E+01,-2.50080562292E-02
1.22195329500E+05,-2.37318295594E-02,-5.13780260223E+01,-5.12182999898E+01,-2.66776053887E-02
1.24493340890E+05,-2.36177588732E-02,-5.09140479590E+01,-5.10839007298E+01,-2.74351621546E-02
1.26834568796E+05,-2.48746319735E-02,-5.10148573801E+01,-5.09707307688E+01,-2.68640035773E-02
1.29219825950E+05,-2.41865816269E-02,-5.07660363563E+01,-5.07564888249E+01,-2.64356653265E-02
1.31649940367E+05,-2.49816425130E-02,-5.04383898549E+01,-5.07210790245E+01,-2.67512334522E-02
1.34125755635E+05,-2.52577701748E-02,-5.06201235958E+01,-5.03553280931E+01,-2.69619673252E-02
1.36648131208E+05,-2.44417207204E-02,-5.03726864285E+01,-5.03539838107E+01,-2.64555880047E-02
1.39217942700E+05,-2.28769719996E-02,-5.03207489469E+01,-5.02827664576E+01,-2.91727685276E-02
1.41836082194E+05,-2.32619707853E-02,-4.99914175293E+01,-5.01317087655E+01,-2.65338330416E-02
1.44503458548E+05,-2.34081770731E-02,-4.99679439479E+01,-4.98199409307E+01,-2.75190554407E-02
1.47220997713E+05,-2.12817627231E-02,-4.96383801783E+01,-4.97842977795E+01,-2.79051431112E-02
1.49989643053E+05,-2.27280688663E-02,-4.96715363426E+01,-4.95007115938E+01,-2.54015697175E-02
1.52810355675E+05,-2.34998764276E-02,-4.94880028735E+01,-4.95919953018E+01,-2.50841700060E-02
1.55684114757E+05,-2.19979272212E-02,-4.91911102609E+01,-4.94151293371E+01,-2.43442490060E-02
1.58611917894E+05,-2.19796047903E-02,-4.90904831047E+01,-4.91917757048E+01,-2.33403233125E-02
1.61594781441E+05,-2.19203536387E-02,-4.88920314879E+01,-4.88165376740E+01,-2.39207037796E-02
1.64633740867E+05,-2.21318341976E-02,-4.86717393681E+01,-4.87995248165E+01,-2.34334022421E-02
1.67729851114E+05,-2.23360957422E-02,-4.85921165622E+01,-4.84736762792E+01,-2.60514688354E-02
1.70884186963E+05,-2.21704893105E-02,-4.84072738561E+01,-4.84089603663E+01,-2.65480020169E-02
1.74097843407E+05,-2.14105301256E-02,-4.82994123237E+01,-4.83343083919E+01,-2.47614350481E-02
1.77371936033E+05,-2.08034291027E-02,-4.80361862634E+01,-4.80341679797E+01,-2.41574486814E-02
1.80707601406E+05,-2.24287818410E-02,-4.79978572889E+01,-4.78928510251E+01,-2.50363607856E-02
1.84105997466E+05,-2.17830669588E-02,-4.76823358660E+01,-4.78204496486E+01,-2.22921003026E-02
1.87568303931E+05,-2.20654619821E-02,-4.76030416563E+01,-4.78060269989E+01,-2.42556220033E-02
1.91095722701E+05,-2.21961619983E-02,-4.73911549374E+01,-4.74157327810E+01,-2.36963647008E-02
1.94689478283E+05,-2.11064608516E-02,-4.72681212306E+01,-4.73235385918E+01,-2.33559382848E-02
1.98350818209E+05,-2.13897719265E-02,-4.71210765992E+01,-4.71635580461E+01,-2.46427537238E-02
2.02081013475E+05,-2.04613491164E-02,-4.70364773718E+01,-4.68679266004E+01,-2.26764296573E-02
2.05881358977E+05,-2.07864865298E-02,-4.67994005310E+01,-4.68493365557E+01,-2.32244978497E-02
2.09753173963E+05,-2.13742406398E-02,-4.66918618146E+01,-4.67266633681E+01,-2.49401562179E-02
2.13697802493E+05,-2.08612762498E-02,-4.64205967826E+01,-4.64673593411E+01,-2.43264762998E-02
2.17716613901E+05,-2.19557570917E-02,-4.62480007756E+01,-4.63954994627E+01,-2.16995247392E-02
2.21811003275E+05,-1.94316908281E-02,-4.61936212117E+01,-4.62023067289E+01,-2.23978626690E-02
2.25982391938E+05,-1.90061471504E-02,-4.60395573088E+01,-4.60166047291E+01,-2.43864637650E-02
2.30232227941E+05,-2.12937807399E-02,-4.58763424619E+01,-4.58358156034E+01,-2.20850592190E-02
2.34561986570E+05,-1.94730184976E-02,-4.57623001714E+01,-4.57366261446E+01,-2.36271325552E-02
2.38973170853E+05,-1.98985058825E-02,-4.55357290226E+01,-4.55516031266E+01,-2.15350613311E-02
2.43467312085E+05,-1.74841793352E-02,-4.53807365077E+01,-4.53421884100E+01,-2.39919785226E-02
2.48045970358E+05,-2.03135531394E-02,-4.52098317737E+01,-4.52428612304E+01,-2.13715927238E-02
2.52710735105E+05,-1.86134528393E-02,-4.49860854829E+01,-4.50791424165E+01,-2.18982991340E-02
2.57463225647E+05,-1.78703183914E-02,-4.48416445361E+01,-4.48574487431E+01,-2.21617329777E-02
2.62305091761E+05,-1.71983664726E-02,-4.47235729212E+01,-4.48064235119E+01,-2.17001524373E-02
2.67238014248E+05,-1.71950485357E-02,-4.45482890396E+01,-4.46222074443E+01,-2.12319995633E-02
2.72263705518E+05,-1.67785892583E-02,-4.43374889562E+01,-4.44183783908E+01,-2.34208363740E-02
2.77383910186E+05,-1.77825316263E-02,-4.41572517928E+01,-4.42996123563E+01,-2.10728800419E-02
2.82600405676E+05,-1.75441617103E-02,-4.40878907209E+01,-4.41042055274E+01,-2.25240477090E-02
2.87915002836E+05,-1.76528769465E-02,-4.39078562852E+01,-4.38801716749E+01,-2.21522069911E-02
2.93329546573E+05,-1.67494751109E-02,-4.37096048197E+01,-4.37720770151E+01,-2.17757144057E-02
2.98845916487E+05,-1.90914914870E-02,-4.35583844732E+01,-4.35632643075E+01,-1.95559045410E-02
3.04466027525E+05,-1.58043466166E-02,-4.34103813860E+01,-4.33910260317E+01,-2.24558089867E-02
3.10191830648E+05,-1.63392053013E-02,-4.32456140496E+01,-4.32018752230E+01,-2.13093390462E-02
3.16025313507E+05,-1.83342610795E-02,-4.30597880547E+01,-4.30600426889E+01,-2.16167497644E-02
3.21968501132E+05,-1.76948963975E-02,-4.30014366000E+01,-4.29595604039E+01,-2.11588196433E-02
3.28023456637E+05,-1.72447491862E-02,-4.27608926590E+01,-4.28064143486E+01,-2.12254153369E-02
3.34192281933E+05,-1.76048478056E-02,-4.25499132896E+01,-4.26227306395E+01,-2.10827385507E-02
3.40477118462E+05,-1.60844723356E-02,-4.23889490660E+01,-4.24404986371E+01,-1.98388963439E-02
3.46880147937E+05,-1.53886479731E-02,-4.23024418430E+01,-4.23160809283E+01,-2.02597666777E-02
3.53403593099E+05,-1.65729854319E-02,-4.21042265707E+01,-4.21272761480E+01,-2.06505605595E-02
3.60049718493E+05,-1.69018487800E-02,-4.19011824981E+01,-4.19911099966E+01,-2.18008705286E-02
3.66820831249E+05,-1.73020057277E-02,-4.18156364656E+01,-4.18238819264E+01,-2.16197784524E-02
3.73719281885E+05,-1.64983317137E-02,-4.15959371196E+01,-4.16386315999E+01,-2.20759575031E-02
3.80747465123E+05,-1.51920733258E-02,-4.14753992094E+01,-4.14380944751E+01,-2.14566543864E-02
3.87907820723E+05,-1.53955372364E-02,-4.13124405788E+01,-4.12578576647E+01,-2.13509155574E-02
3.95202834322E+05,-1.48689692738E-02,-4.11426375882E+01,-4.11973675252E+01,-2.16527804776E-02
4.02635038307E+05,-1.23552790318E-02,-4.09647399328E+01,-4.09271458058E+01,-2.09215373615E-02
4.10207012687E+05,-1.37607179247E-02,-4.07594942342E+01,-4.08109278179E+01,-2.09114845000E-02
4.17921385989E+05,-1.44366616774E-02,-4.05397729660E+01,-4.05636405994E+01,-2.17797167985E-02
4.25780836177E+05,-1.42502674171E-02,-4.04528999210E+01,-4.04470910224E+01,-2.19565945490E-02
4.33788091572E+05,-1.57153410278E-02,-4.03017787116E+01,-4.02583606238E+01,-2.09916340439E-02
4.41945931807E+05,-1.49092387936E-02,-4.01350472904E+01,-4.01378448298E+01,-2.04619926715E-02
4.50257188788E+05,-1.57335758387E-02,-3.99219086398E+01,-3.99597183383E+01,-1.98422413462E-02
4.58724747677E+05,-1.43546595966E-02,-3.97518400791E+01,-3.97478999561E+01,-2.04422765130E-02
4.67351547896E+05,-1.52900953116E-02,-3.95479677841E+01,-3.96061249224E+01,-1.97641793672E-02
4.76140584145E+05,-1.61545430088E-02,-3.94256712136E+01,-3.94196065211E+01,-2.06839512729E-02
4.85094907443E+05,-1.62090174282E-02,-3.92346583687E+01,-3.93171437852E+01,-2.11870999245E-02
4.94217626187E+05,-1.47762058653E-02,-3.90724400145E+01,-3.91183657682E+01,-2.03480570480E-02
5.03511907229E+05,-1.42271463175E-02,-3.89067596498E+01,-3.88913881337E+01,-1.96380026960E-02
5.12980976978E+05,-1.55118521599E-02,-3.87211405044E+01,-3.87199571167E+01,-1.96345595593E-02
5.22628122520E+05,-1.48648202722E-02,-3.85293208016E+01,-3.85952132970E+01,-1.95998621761E-02
5.32456692757E+05,-1.53339695708E-02,-3.84116051327E+01,-3.83933878963E+01,-2.03225862386E-02
5.42470099570E+05,-1.49724766643E-02,-3.82052093572E+01,-3.82578900488E+01,-2.08482815379E-02
5.52671819005E+05,-1.54966554863E-02,-3.80440609062E+01,-3.80708887030E+01,-2.04882578196E-02
5.63065392479E+05,-1.41279849339E-02,-3.78427125191E+01,-3.78709012809E+01,-2.01988684205E-02
5.73654428008E+05,-1.52074094713E-02,-3.76719810068E+01,-3.76896964614E+01,-1.88919350225E-02
5.84442601461E+05,-1.52682752307E-02,-3.75279937089E+01,-3.75216952057E+01,-2.00384057151E-02
5.95433657836E+05,-1.54302981703E-02,-3.73856329425E+01,-3.73301326389E+01,-2.05263878012E-02
6.06631412558E+05,-1.49501740009E-02,-3.71550234281E+01,-3.71952730922E+01,-1.84372345875E-02
6.18039752809E+05,-1.42965025457E-02,-3.69905267626E+01,-3.69698559815E+01,-2.02397794249E-02
6.29662638868E+05,-1.54094982366E-02,-3.68100187151E+01,-3.67953174470E+01,-2.01126223976E-02
6.41504105496E+05,-1.56217488670E-02,-3.65824494581E+01,-3.66436384907E+01,-1.91632394534E-02
6.53568263328E+05,-1.72279114691E-02,-3.64211200205E+01,-3.64503648643E+01,-1.89178099286E-02
6.65859300308E+05,-1.49173676594E-02,-3.62363473386E+01,-3.62806571466E+01,-1.80929039163E-02
6.78381483135E+05,-1.73164127077E-02,-3.60881015228E+01,-3.60910592059E+01,-1.85695184876E-02
6.91139158750E+05,-1.59883966657E-02,-3.58770365727E+01,-3.59092448424E+01,-1.84709436977E-02
7.04136755841E+05,-1.54176567849E-02,-3.57029243751E+01,-3.57091948391E+01,-1.96415264612E-02
7.17378786384E+05,-1.53198385491E-02,-3.55107501652E+01,-3.55102810496E+01,-1.99112858320E-02
7.30869847206E+05,-1.52570684950E-02,-3.53226463388E+01,-3.53006085054E+01,-1.90953329274E-02
7.44614621583E+05,-1.51109344900E-02,-3.51099166993E+01,-3.51576791860E+01,-1.93569104599E-02
7.58617880864E+05,-1.51191298328E-02,-3.49311323152E+01,-3.49508969779E+01,-2.05940315982E-02
7.72884486130E+05,-1.58788814641E-02,-3.47684469587E+01,-3.47876822031E+01,-1.98637466544E-02
7.87419389878E+05,-1.58102329529E-02,-3.45334229135E+01,-3.45728318852E+01,-2.07425930823E-02
8.02227637742E+05,-1.60158087993E-02,-3.43588975891E+01,-3.43729282732E+01,-2.07116528225E-02
8.17314370246E+05,-1.57326526144E-02,-3.41571003668E+01,-3.41876828716E+01,-2.14149017729E-02
8.32684824584E+05,-1.64604953227E-02,-3.39649666931E+01,-3.39828981818E+01,-2.32219841391E-02
8.48344336445E+05,-1.51220008448E-02,-3.37489332174E+01,-3.37461377437E+01,-2.40094088020E-02
8.64298341858E+05,-1.70916661345E-02,-3.35456251981E+01,-3.35723368342E+01,-2.44529787241E-02
8.80552379083E+05,-1.67498598576E-02,-3.33582869052E+01,-3.33869446576E+01,-2.25708464879E-02
8.97112090533E+05,-1.71704447766E-02,-3.31613926438E+01,-3.31765613571E+01,-2.41557523192E-02
9.13983224734E+05,-1.92450122305E-02,-3.29379074582E+01,-3.29593304731E+01,-2.45302678472E-02
9.31171638316E+05,-1.85955902586E-02,-3.27404037757E+01,-3.27505697766E+01,-2.41945687200E-02
9.48683298051E+05,-2.02058927516E-02,-3.25181799016E+01,-3.25449678158E+01,-2.72198152353E-02
9.66524282922E+05,-1.95805442281E-02,-3.23113842216E+01,-3.23359547730E+01,-2.67806673122E-02
9.84700786234E+05,-2.15410943739E-02,-3.21018649121E+01,-3.21103797821E+01,-2.93122055830E-02
1.00321911776E+06,-2.12641931628E-02,-3.18654794198E+01,-3.18890452030E+01,-3.02871520777E-02
1.02208570595E+06,-2.41570146884E-02,-3.16477268850E+01,-3.16577243417E+01,-3.07507353831E-02
1.04130710012E+06,-2.56185483972E-02,-3.14103997458E+01,-3.14367080417E+01,-3.13474725740E-02
